"","Company...Maker.if.known.","Specific.Bean.Origin.or.Bar.Name","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin","Amazon.Rating","Deliciousness.Rating"
"47","Altus aka Cao Artisan","CIAAB Coop",1732,2016,"60%","U.S.A.",2.5," ","Bolivia",4,-1
"48","Altus aka Cao Artisan","Villa Andina",1732,2016,"60%","U.S.A.",2.5," ","Peru",3,0
"49","Altus aka Cao Artisan","Gruppo Salinas",1732,2016,"60%","U.S.A.",2.75," ","Ecuador",1,0
"50","Altus aka Cao Artisan","Sur del Lago",1125,2013,"60%","U.S.A.",2.5," ","Venezuela",2,1
"51","Altus aka Cao Artisan","Conacado",1125,2013,"60%","U.S.A.",3,"Trinitario","Dominican Republic",4,1
"52","Altus aka Cao Artisan","Bolivia",1129,2013,"80%","U.S.A.",3.25," ","Bolivia",1,-1
"53","Altus aka Cao Artisan","Bolivia",1133,2013,"60%","U.S.A.",3," ","Bolivia",-1,-1
"54","Altus aka Cao Artisan","Peru",1133,2013,"60%","U.S.A.",3.25," ","Peru",2,0
"55","Amano","Morobe",725,2011,"70%","U.S.A.",4," ","Papua New Guinea",-1,0
"56","Amano","Dos Rios",470,2010,"70%","U.S.A.",3.75," ","Dominican Republic",5,1
"57","Amano","Guayas",470,2010,"70%","U.S.A.",4," ","Ecuador",5,-1
"58","Amano","Chuao",544,2010,"70%","U.S.A.",3,"Trinitario","Venezuela",5,1
"59","Amano","Montanya",363,2009,"70%","U.S.A.",3," ","Venezuela",5,1
"60","Amano","Bali, Jembrana",304,2008,"70%","U.S.A.",2.75," ","Indonesia",4,1
"61","Amano","Madagascar",129,2007,"70%","U.S.A.",3.5,"Trinitario","Madagascar",0,0
"62","Amano","Cuyagua",147,2007,"70%","U.S.A.",3," ","Venezuela",4,0
"63","Amano","Ocumare",175,2007,"70%","U.S.A.",3.75,"Criollo","Venezuela",3,-1
"64","Amatller (Simon Coll)","Ghana",322,2009,"70%","Spain",3,"Forastero","Ghana",3,0
"65","Amatller (Simon Coll)","Ecuador",327,2009,"70%","Spain",2.75," ","Ecuador",5,1
"66","Amatller (Simon Coll)","Ecuador",464,2009,"85%","Spain",2.75," ","Ecuador",5,1
"67","Amatller (Simon Coll)","Ghana",464,2009,"85%","Spain",3,"Forastero","Ghana",4,1
"68","Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,"72%","Peru",3.25," ","Peru",3,1
"69","Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,"73%","Peru",3.5,"Trinitario","Peru",-1,0
"70","Ambrosia","Belize",1494,2015,"64%","Canada",3,"Trinitario","Belize",1,1
"71","Ambrosia","Madagascar",1494,2015,"66%","Canada",3.25,"Trinitario","Madagascar",3,-1
"72","Ambrosia","Dominican Republic",1498,2015,"75%","Canada",3.25," ","Dominican Republic",5,1
"73","Ambrosia","Papua New Guinea",1498,2015,"63%","Canada",3.25," ","Papua New Guinea",-1,0
"74","Ambrosia","Venezuela",1498,2015,"70%","Canada",3.25," ","Venezuela",2,-1
"75","Ambrosia","Peru",1498,2015,"68%","Canada",3.5," ","Peru",5,-1
"76","Amedei","Piura, Blanco de Criollo",979,2012,"70%","Italy",3.75," ","Peru",0,-1
"77","Amedei","Porcelana",111,2007,"70%","Italy",4,"Criollo (Porcelana)","Venezuela",3,1
"78","Amedei","Nine",111,2007,"75%","Italy",4,"Blend"," ",4,-1
"79","Amedei","Chuao",111,2007,"70%","Italy",5,"Trinitario","Venezuela",5,1
"80","Amedei","Ecuador",123,2007,"70%","Italy",3,"Trinitario","Ecuador",2,0
"81","Amedei","Jamaica",123,2007,"70%","Italy",3,"Trinitario","Jamaica",5,0
"82","Amedei","Grenada",123,2007,"70%","Italy",3.5,"Trinitario","Grenada",3,1
"83","Amedei","Venezuela",123,2007,"70%","Italy",3.75,"Trinitario (85% Criollo)","Venezuela",3,-1
"84","Amedei","Madagascar",123,2007,"70%","Italy",4,"Trinitario (85% Criollo)","Madagascar",4,0
"85","Amedei","Trinidad",129,2007,"70%","Italy",3.5,"Trinitario","Trinidad",4,0
"86","Amedei","Toscano Black",170,2007,"63%","Italy",3.5,"Blend"," ",0,1
"87","Amedei","Toscano Black",40,2006,"70%","Italy",5,"Blend"," ",5,0
"88","Amedei","Toscano Black",75,2006,"66%","Italy",4,"Blend"," ",5,1
"89","AMMA","Catongo",1065,2013,"75%","Brazil",3.25,"Forastero (Catongo)","Brazil",4,0
"90","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"85%","Brazil",2.75,"Forastero (Parazinho)","Brazil",1,-1
"91","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"50%","Brazil",3.75,"Forastero (Parazinho)","Brazil",3,1
"92","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"75%","Brazil",3.75,"Forastero (Parazinho)","Brazil",2,1
"93","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"60%","Brazil",4,"Forastero (Parazinho)","Brazil",2,1
"94","Anahata","Elvesia",1259,2014,"75%","U.S.A.",3," ","Dominican Republic",3,0
"95","Animas","Alto Beni",1852,2016,"75%","U.S.A.",3.5," ","Bolivia",0,-1
"96","Ara","Madagascar",1375,2014,"75%","France",3,"Trinitario","Madagascar",5,1
"97","Ara","Chiapas",1379,2014,"72%","France",2.5," ","Mexico",4,1
"98","Ara","Equateur",1379,2014,"75%","France",2.75," ","Ecuador",2,-1
"99","Ara","Trincheras",1379,2014,"75%","France",3," ","Venezuela",4,1
"100","Arete","San Juan",1724,2016,"70%","U.S.A.",3.5,"Trinitario","Trinidad",1,1
"101","Arete","Kokoa Kamili",1724,2016,"70%","U.S.A.",3.75," ","Tanzania",5,-1
"102","Arete","Tien Giang",1900,2016,"73%","U.S.A.",3.5,"Trinitario","Vietnam",-1,-1
"103","Arete","Hacienda Victoria",1904,2016,"70%","U.S.A.",3.25," ","Ecuador",3,0
"104","Arete","Costa Esmeraldas",1904,2016,"70%","U.S.A.",3.25," ","Ecuador",0,1
"105","Arete","Lachua",1904,2016,"70%","U.S.A.",3.5," ","Guatemala",5,-1
"106","Arete","Rugoso",1904,2016,"70%","U.S.A.",3.75," ","Nicaragua",1,0
"107","Arete","La Masica, FHIA",1908,2016,"70%","U.S.A.",3.5," ","Honduras",-1,0
"108","Arete","Coto Brus, Terciopelo",1908,2016,"70%","U.S.A.",4," ","Costa Rica",3,0
"109","Arete","Phantom",1924,2016,"70%","U.S.A.",4,"Forastero (Nacional)","Peru",1,-1
"110","Arete","Elvesia",1928,2016,"70%","U.S.A.",3.75," ","Dominican Republic",-1,0
"111","Arete","Matasawalevu",1928,2016,"70%","U.S.A.",3.25," ","Fiji",1,-1
"112","Arete","Lam Dong",1928,2016,"73%","U.S.A.",3.25," ","Vietnam",3,1
"113","Arete","Fazenda Camboa",1534,2015,"70%","U.S.A.",3.5," ","Brazil",3,0
"114","Arete","Nacional",1534,2015,"68%","U.S.A.",3.5,"Forastero (Nacional)","Peru",5,-1
"115","Arete","Puerto Quito, heirloom",1534,2015,"70%","U.S.A.",3.75,"Forastero (Nacional)","Ecuador",3,1
"116","Arete","Oko Caribe",1598,2015,"70%","U.S.A.",3.5," ","Domincan Republic",3,1
"117","Arete","Maya Mountain",1598,2015,"70%","U.S.A.",3.75,"Trinitario","Belize",4,0
"118","Arete","Chuno",1598,2015,"70%","U.S.A.",4,"Criollo, Trinitario","Nicaragua",4,0
"119","Arete","Fazenda Camboa",1602,2015,"75%","U.S.A.",2.75," ","Brazil",2,-1
"120","Arete","Guatemala",1602,2015,"70%","U.S.A.",3.25," ","Guatemala",3,-1
"121","Arete","Camino Verde",1602,2015,"75%","U.S.A.",3.5," ","Ecuador",3,0
"122","Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,"72%","U.K.",3.25,"Trinitario","Trinidad",0,-1
"123","Artisan du Chocolat","Colombia, Casa Luker",947,2012,"72%","U.K.",3.75," ","Colombia",3,1
"124","Artisan du Chocolat","Haiti",729,2011,"72%","U.K.",4," ","Haiti",-1,0
"125","Artisan du Chocolat","Panama",745,2011,"72%","U.K.",2.75," ","Panama",1,0
"126","Artisan du Chocolat","Venezuela",486,2010,"100%","U.K.",1.75," ","Venezuela",4,0
"127","Artisan du Chocolat","Jamaica",531,2010,"72%","U.K.",3.75,"Trinitario","Jamaica",3,1
"128","Artisan du Chocolat","Costa Rica",600,2010,"72%","U.K.",3.25," ","Costa Rica",5,0
"129","Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,"72%","U.K.",3.25,"Trinitario","Vietnam",0,-1
"130","Artisan du Chocolat","Bali",600,2010,"72%","U.K.",3.5," ","Indonesia",0,0
"131","Artisan du Chocolat","Ocumare, Venezuela",355,2009,"75%","U.K.",2.5,"Criollo, Trinitario","Venezuela",-1,0
"132","Artisan du Chocolat","Java",355,2009,"72%","U.K.",2.75,"Trinitario","Indonesia",0,-1
"133","Artisan du Chocolat","Brazil Rio Doce",363,2009,"72%","U.K.",1.75," ","Brazil",-1,-1
"134","Artisan du Chocolat","Madagascar",363,2009,"80%","U.K.",3,"Criollo, Trinitario","Madagascar",5,-1
"135","Artisan du Chocolat","Peru",363,2009,"75%","U.K.",3,"Criollo","Peru",1,-1
"136","Artisan du Chocolat","Dominican Republic",363,2009,"72%","U.K.",3.25,"Trinitario","Dominican Republic",-1,-1
"137","Artisan du Chocolat","Congo",300,2008,"72%","U.K.",3.75,"Forastero","Congo",2,0
"138","Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,"72%","U.K.",2.75,"Trinitario","Colombia",2,-1
"139","Askinosie","Mababa",1780,2016,"68%","U.S.A.",3.75,"Trinitario","Tanzania",1,0
"140","Askinosie","Tenende, Uwate",647,2011,"72%","U.S.A.",3.75,"Trinitario","Tanzania",1,-1
"141","Askinosie","Cortes",661,2011,"70%","U.S.A.",3.75,"Trinitario","Honduras",2,1
"142","Askinosie","Davao",331,2009,"77%","U.S.A.",3.75,"Trinitario","Philippines",4,-1
"143","Askinosie","Xoconusco",141,2007,"75%","U.S.A.",2.5,"Trinitario","Mexico",-1,1
"144","Askinosie","San Jose del Tambo",175,2007,"70%","U.S.A.",3,"Forastero (Arriba)","Ecuador",0,-1
"145","Bahen & Co.","Houseblend",1474,2015,"80%","Australia",3.25," "," ",3,-1
"146","Bahen & Co.","Papua New Guinea",1474,2015,"70%","Australia",3.5," ","Papua New Guinea",2,-1
"147","Bahen & Co.","Sambirano",995,2012,"70%","Australia",3,"Trinitario","Madagascar",3,-1
"148","Bahen & Co.","Bahia",999,2012,"70%","Australia",2.5," ","Brazil",1,-1
"149","Bahen & Co.","Houseblend",999,2012,"70%","Australia",2.5,"Blend"," ",4,-1
"150","Bakau","Bambamarca, 2015",1454,2015,"70%","Peru",2.75," ","Peru",5,1
"151","Bakau","Huallabamba, 2015",1454,2015,"70%","Peru",3.5," ","Peru",2,0
"152","Bar Au Chocolat","Bahia",1554,2015,"70%","U.S.A.",3.5," ","Brazil",-1,1
"153","Bar Au Chocolat","Maranon Canyon",1295,2014,"70%","U.S.A.",4,"Forastero (Nacional)","Peru",-1,-1
"154","Bar Au Chocolat","Duarte Province",983,2012,"70%","U.S.A.",3.25," ","Dominican Republic",3,-1
"155","Bar Au Chocolat","Chiapas",983,2012,"70%","U.S.A.",3.5," ","Mexico",1,-1
"156","Bar Au Chocolat","Sambirano",983,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar",4,-1
"157","Baravelli's","single estate",955,2012,"80%","Wales",2.75," ","Costa Rica",3,-1
"158","Batch","Dominican Republic, Batch 3",1840,2016,"65%","U.S.A.",3.5," ","Domincan Republic",1,0
"159","Batch","Brazil",1868,2016,"70%","U.S.A.",3.75," ","Brazil",-1,-1
"160","Batch","Ecuador",1880,2016,"65%","U.S.A.",3.25," ","Ecuador",3,-1
"161","Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,"73%","U.K.",3," ","Malaysia",-1,-1
"162","Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,"72%","U.K.",3.25," ","Malaysia",5,1
"163","Beehive","Brazil, Batch 20316",1784,2016,"80%","U.S.A.",2.75," ","Brazil",3,0
"164","Beehive","Dominican Republic, Batch 31616",1784,2016,"70%","U.S.A.",2.75," ","Domincan Republic",4,1
"165","Beehive","Ecuador, Batch 31516",1784,2016,"70%","U.S.A.",2.75," ","Ecuador",5,0
"166","Beehive","Ecuador",1788,2016,"90%","U.S.A.",2.75," ","Ecuador",0,-1
"167","Belcolade","Costa Rica",586,2010,"64%","Belgium",2.75," ","Costa Rica",4,0
"168","Belcolade","Papua New Guinea",586,2010,"64%","Belgium",2.75," ","Papua New Guinea",1,0
"169","Belcolade","Peru",586,2010,"64%","Belgium",2.75," ","Peru",2,-1
"170","Belcolade","Ecuador",586,2010,"71%","Belgium",3.5," ","Ecuador",4,1
"171","Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,"70%","U.S.A.",3.5,"Criollo, Trinitario","Tanzania",-1,0
"172","Bellflower","Alto Beni, Palos Blanco",1804,2016,"70%","U.S.A.",3.25," ","Bolivia",1,1
"173","Bellflower","Oko Caribe, Duarte P.",1864,2016,"70%","U.S.A.",3.5," ","Domincan Republic",4,1
"174","Belyzium","Belize south, low fermentation",1768,2016,"83%","Germany",2.75,"Trinitario","Belize",2,0
"175","Belyzium","Belize south",1768,2016,"78%","Germany",3,"Trinitario","Belize",4,0
"176","Belyzium","Belize south",1768,2016,"83%","Germany",3.5,"Trinitario","Belize",0,0
"177","Benoit Nihant","Baracoa",1141,2013,"74%","Belgium",3.5,"Trinitario","Cuba",0,-1
"178","Benoit Nihant","Chuao",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela",-1,0
"179","Benoit Nihant","Cuyagua Village",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela",4,-1
"180","Benoit Nihant","Rio Peripa H.",1141,2013,"73%","Belgium",4,"Trinitario","Ecuador",3,0
"181","Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,"72%","Belgium",4,"Trinitario","Indonesia",-1,-1
"182","Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,"72%","Belgium",3.75,"Trinitario","Madagascar",-1,-1
"183","Bernachon","Nature",797,2012,"55%","France",2.75," "," ",2,0
"184","Beschle (Felchlin)","Madagascar",636,2011,"64%","Switzerland",3,"Trinitario","Madagascar",0,1
"185","Beschle (Felchlin)","Maracaibo",636,2011,"88%","Switzerland",3,"Criollo","Venezuela",1,0
"186","Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,"72%","Switzerland",3.5," ","Venezuela",1,0
"187","Beschle (Felchlin)","Ecuador",636,2011,"72%","Switzerland",4," ","Ecuador",2,-1
"188","Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,"70%","Switzerland",3.25,"Trinitario","Venezuela",2,1
"189","Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,"74%","Switzerland",3.25,"Criollo (Porcelana)","Venezuela",5,-1
"190","Beschle (Felchlin)","Java, Grand Cru",508,2010,"64%","Switzerland",3.5," ","Indonesia",4,-1
"191","Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,"72%","Switzerland",3.5," ","Venezuela",2,-1
"192","Bisou","Nicaragua, American style",1482,2015,"76%","U.S.A.",2.5," ","Nicaragua",1,-1
"193","Bisou","San Andres, American style",1486,2015,"76%","U.S.A.",2.5," ","Costa Rica",0,1
"194","Bisou","San Andres, silk",1486,2015,"78%","U.S.A.",2.5," ","Costa Rica",3,0
"195","Bisou","Belize",1486,2015,"86%","U.S.A.",3.25,"Trinitario","Belize",1,-1
"196","Bittersweet Origins","Ghana",963,2012,"72%","U.S.A.",3.5,"Forastero","Ghana",-1,0
"197","Bittersweet Origins","Bali, Singaraja",478,2010,"75%","U.S.A.",3.25," ","Indonesia",1,-1
"198","Bittersweet Origins","2009 Hapa Nibby",502,2010,"70%","U.S.A.",3.75,"Blend","Dominican Rep., Bali",4,0
"199","Bittersweet Origins","Bali, Singaraja",558,2010,"65%","U.S.A.",2.75," ","Indonesia",5,1
"200","Bittersweet Origins","Sambirano, 2009",565,2010,"70%","U.S.A.",3,"Trinitario","Madagascar",2,1
"201","Bittersweet Origins","Ocumare, prototype",565,2010,"78%","U.S.A.",3,"Criollo","Venezuela",4,1
"202","Bittersweet Origins","Puerto Plata",414,2009,"75%","U.S.A.",3," ","Dominican Republic",0,-1
"203","Bittersweet Origins","Puerto Plata",414,2009,"65%","U.S.A.",3.5," ","Dominican Republic",1,-1
"204","Bittersweet Origins","Sambirano",423,2009,"75%","U.S.A.",3.25,"Trinitario","Madagascar",0,-1
"205","Bittersweet Origins","Sambirano",431,2009,"65%","U.S.A.",3.5,"Trinitario","Madagascar",5,0
"206","Bittersweet Origins","Sambirano",233,2008,"71%","U.S.A.",3,"Trinitario","Madagascar",4,1
"207","Bittersweet Origins","Bocas del Toro",233,2008,"75%","U.S.A.",3.5," ","Panama",4,-1
"208","Bittersweet Origins","Puerto Plata",233,2008,"68%","U.S.A.",3.75," ","Dominican Republic",1,0
"209","Bittersweet Origins","Ankasa",256,2008,"70%","U.S.A.",3,"Forastero","Ghana",0,0
"210","Black Mountain","La Red",256,2008,"70%","U.S.A.",2.75," ","Dominican Republic",3,0
"211","Black Mountain","Carenero Superior",256,2008,"70%","U.S.A.",2.75,"Trinitario","Venezuela",2,-1
"212","Black Mountain","Matiguas",256,2008,"70%","U.S.A.",3," ","Nicaragua",5,0
"213","Black River (A. Morin)","Blue Mountain Region",1331,2014,"70%","U.K.",2.75,"Trinitario","Jamaica",3,-1
"214","Blanxart","Congo, Grand Cru",1046,2013,"82%","Spain",3.5,"Forastero","Congo",1,-1
"215","Blanxart","Organic Dark",322,2009,"72%","Spain",2.75," "," ",5,0
"216","Blue Bandana","Akesson's E., Sambirano V.",1740,2016,"82%","U.S.A.",3.5,"Trinitario","Madagascar",1,0
"217","Blue Bandana","Lachua",1752,2016,"75%","U.S.A.",2.75," ","Guatemala",-1,1
"218","Blue Bandana","Kokoa Kamili",1752,2016,"75%","U.S.A.",3.5," ","Tanzania",4,-1
"219","Blue Bandana","Zorzal Reserva",1756,2016,"75%","U.S.A.",3," ","Dominican Republic",-1,1
"220","Blue Bandana","Guatemala",911,2012,"70%","U.S.A.",3.5," ","Guatemala",-1,-1
"221","Blue Bandana","Madagascar",911,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar",4,0
"222","Bonnat","Selva Maya",1912,2016,"75%","France",3.5," ","Mexico",1,1
"223","Bonnat","Kaori",1339,2014,"75%","France",4," ","Brazil",1,1
"224","Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,"75%","France",3.25," ","Dominican Republic",2,0
"225","Bonnat","Surfin",1418,2014,"65%","France",3.75," ","Venez,Africa,Brasil,Peru,Mex",-1,1
"226","Bonnat","Maragnam",1038,2013,"75%","France",3.5," ","Brazil",5,0
"227","Bonnat","Gabon",1042,2013,"75%","France",3.25," ","Gabon",3,-1
"228","Bonnat","Cuba",629,2011,"75%","France",3.5,"Trinitario","Cuba",2,-1
"229","Bonnat","Cusco, Cacao Cusco",629,2011,"75%","France",3.5," ","Peru",5,-1
"230","Bonnat","Piura Blanco",629,2011,"75%","France",3.5,"Forastero (Nacional)","Peru",-1,1
"231","Bonnat","Libanio",629,2011,"75%","France",3.75," ","Brazil",1,0
"232","Bonnat","Haiti",629,2011,"75%","France",4," ","Haiti",3,0
"233","Bonnat","Madagascar, 100% criollo",629,2011,"75%","France",4,"Criollo","Madagascar",2,1
"234","Bonnat","Juliana",672,2011,"75%","France",3.5," ","Brazil",-1,-1
"235","Bonnat","Jamaique",761,2011,"75%","France",3.25,"Trinitario","Jamaica",4,1
"236","Bonnat","Ivory Coast",331,2009,"75%","France",3," ","Ivory Coast",1,-1
"237","Bonnat","Porcelana, Apotequil",336,2009,"75%","France",2.75,"Criollo","Peru",0,1
"238","Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,"75%","France",3,"Criollo","Mexico",5,1
"239","Bonnat","Xoconusco, cacao Real",395,2009,"75%","France",3,"Criollo","Mexico",4,1
"240","Bonnat","Porcelana, Venezuela",199,2008,"75%","France",4,"Criollo (Porcelana)","Venezuela",4,1
"241","Bonnat","Equateur",123,2007,"75%","France",2.5,"Forastero (Arriba)","Ecuador",4,0
"242","Bonnat","Trinite",24,2006,"75%","France",3.75,"Trinitario","Carribean",5,-1
"243","Bonnat","Ocumare, Puerto Cabello",32,2006,"75%","France",4," ","Venezuela",5,0
"244","Bonnat","Maracaibo, El Rosario",48,2006,"75%","France",4,"Criollo","Venezuela",3,1
"245","Bonnat","Madagascar",75,2006,"75%","France",4,"Trinitario","Madagascar",1,1
"246","Bonnat","One Hundred",81,2006,"100%","France",1.5," "," ",5,1
"247","Bonnat","Ceylan",81,2006,"75%","France",3," ","Sri Lanka",3,-1
"248","Bonnat","Chuao",81,2006,"75%","France",4,"Trinitario","Venezuela",1,0
"249","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,"77%","Ecuador",3.25,"Forastero (Arriba)","Ecuador",-1,1
"250","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,"100%","Ecuador",1.5,"Forastero (Arriba)","Ecuador",0,-1
"251","Bowler Man","Maya Mountain",1267,2014,"70%","U.S.A.",2.75,"Trinitario","Belize",3,1
"252","Bowler Man","Conacado",1271,2014,"70%","U.S.A.",2.75," ","Dominican Republic",0,0
"253","Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,"70%","U.S.A.",3.5,"Criollo","Venezuela",3,-1
"254","Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,"70%","U.S.A.",3.75," ","Nicaragua",1,-1
"255","Brasstown aka It's Chocolate","Conacado",1462,2015,"68%","U.S.A.",3.75," ","Dominican Republic",2,-1
"256","Brasstown aka It's Chocolate","Maya Mountain",1255,2014,"70%","U.S.A.",3.75,"Trinitario","Belize",2,0
"257","Brasstown aka It's Chocolate","Chuao",1355,2014,"70%","U.S.A.",4,"Trinitario","Venezuela",1,-1
"258","Brasstown aka It's Chocolate","Cooproagro",1125,2013,"72%","U.S.A.",3,"Trinitario","Dominican Republic",-1,1
"259","Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,"70%","U.S.A.",3.25," ","Ecuador",2,0
"260","Brasstown aka It's Chocolate","Ghana",1129,2013,"75%","U.S.A.",3.5,"Forastero","Ghana",5,0
"261","Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,"85%","U.S.A.",3.5,"Trinitario","Venezuela",3,1
"262","Brazen","Elvesia P.",1514,2015,"60%","U.S.A.",3," ","Dominican Republic",1,-1
"263","Brazen","Elvesia P.",1514,2015,"80%","U.S.A.",3.25," ","Dominican Republic",3,0
